epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.726,1.92326,3.15939,2.04258,0.2575,0.10715,0.06596,0.02123,2.60854,3.49455,2.52258,0.000166419,0.000166419,0.0668827
2,273.114,1.82162,2.76011,1.94759,0.37289,0.11348,0.11641,0.05821,2.31983,3.24982,2.18576,0.000329788,0.000329788,0.0337127
3,397.05,1.79474,2.66003,1.92477,0.21101,0.22214,0.15818,0.07542,2.13794,2.70129,2.13219,0.000489857,0.000489857,0.00053946
4,520.813,1.75566,2.54841,1.89013,0.31321,0.22528,0.19073,0.09744,2.08653,2.51694,2.01464,0.00048515,0.00048515,0.00048515
5,644.767,1.73588,2.48992,1.86982,0.36811,0.24847,0.21062,0.10507,2.02264,2.52832,2.03906,0.0004802,0.0004802,0.0004802
6,769.018,1.71196,2.41123,1.84019,0.40724,0.26477,0.22019,0.11645,2.00749,2.42432,1.91603,0.00047525,0.00047525,0.00047525
7,892.586,1.69868,2.37145,1.82627,0.46352,0.2433,0.22952,0.12176,1.95882,2.4385,1.91577,0.0004703,0.0004703,0.0004703
8,1016.25,1.68217,2.32745,1.8128,0.50592,0.2542,0.2417,0.12851,1.98853,2.34881,1.92107,0.00046535,0.00046535,0.00046535
9,1139.12,1.66253,2.3055,1.79746,0.31863,0.29017,0.25414,0.13478,1.95137,2.2113,1.88911,0.0004604,0.0004604,0.0004604
10,1261.64,1.65671,2.25815,1.78596,0.48838,0.27684,0.25277,0.13141,1.94505,2.23453,1.90382,0.00045545,0.00045545,0.00045545
11,1385.22,1.64116,2.23928,1.78011,0.53575,0.26598,0.25058,0.12716,1.96474,2.29335,1.89236,0.0004505,0.0004505,0.0004505
12,1508.39,1.62709,2.20398,1.76239,0.48266,0.2767,0.26052,0.13871,1.9221,2.30541,1.89817,0.00044555,0.00044555,0.00044555
13,1631.5,1.62637,2.18793,1.75602,0.52281,0.30185,0.29274,0.15309,1.89832,2.1345,1.83533,0.0004406,0.0004406,0.0004406
14,1754.33,1.61078,2.15314,1.74397,0.50841,0.30274,0.27236,0.14077,1.90616,2.17624,1.8671,0.00043565,0.00043565,0.00043565
15,1877.17,1.60275,2.14224,1.73773,0.35237,0.31083,0.29517,0.16,1.87745,2.09374,1.82751,0.0004307,0.0004307,0.0004307
16,1999.73,1.60346,2.13175,1.74059,0.48349,0.32717,0.30058,0.16195,1.89973,2.09415,1.82476,0.00042575,0.00042575,0.00042575
17,2123.21,1.59463,2.09994,1.72879,0.55139,0.30353,0.3016,0.15284,1.91272,2.1346,1.84462,0.0004208,0.0004208,0.0004208
18,2246.44,1.58434,2.07936,1.72631,0.52161,0.32194,0.31368,0.17325,1.87582,2.04702,1.80921,0.00041585,0.00041585,0.00041585
19,2368.93,1.58117,2.06419,1.71736,0.53981,0.32443,0.31566,0.17028,1.88412,2.04166,1.82014,0.0004109,0.0004109,0.0004109
20,2492,1.58354,2.04977,1.71356,0.52049,0.33374,0.32124,0.17131,1.87522,2.01566,1.80398,0.00040595,0.00040595,0.00040595
