epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,2614.68,1.56546,2.02902,1.69907,0.56764,0.33686,0.33867,0.18228,1.8488,1.99957,1.80883,0.000401,0.000401,0.000401
22,2738.07,1.56841,2.02779,1.70543,0.55529,0.33356,0.33676,0.18792,1.84222,1.98606,1.78765,0.00039605,0.00039605,0.00039605
23,2861.19,1.55564,2.00051,1.69905,0.57922,0.33771,0.34575,0.19105,1.83968,1.94568,1.8065,0.0003911,0.0003911,0.0003911
24,2984.68,1.55384,1.98303,1.68733,0.57079,0.35354,0.34857,0.19479,1.84428,1.96716,1.77678,0.00038615,0.00038615,0.00038615
25,3108.22,1.54244,1.96397,1.67471,0.53697,0.357,0.34876,0.19062,1.83246,1.93291,1.78624,0.0003812,0.0003812,0.0003812
26,3231.52,1.54989,1.96164,1.68412,0.54945,0.35351,0.34611,0.19169,1.84478,1.94692,1.78442,0.00037625,0.00037625,0.00037625
27,3354.84,1.54083,1.94952,1.68287,0.57704,0.35829,0.35853,0.19783,1.82577,1.89104,1.77599,0.0003713,0.0003713,0.0003713
28,3478.1,1.53571,1.92083,1.66766,0.54814,0.34955,0.34626,0.18835,1.84318,1.91692,1.78313,0.00036635,0.00036635,0.00036635
29,3601.68,1.53175,1.92826,1.66746,0.57459,0.35472,0.35697,0.19796,1.81428,1.91738,1.7651,0.0003614,0.0003614,0.0003614
30,3724.93,1.53194,1.90876,1.66525,0.60866,0.3505,0.36676,0.20421,1.80077,1.88461,1.74962,0.00035645,0.00035645,0.00035645
31,3848.21,1.52587,1.90104,1.65773,0.58614,0.37208,0.37509,0.20602,1.80579,1.87448,1.75444,0.0003515,0.0003515,0.0003515
32,3971.08,1.51644,1.88749,1.65322,0.54831,0.36709,0.37109,0.20745,1.79871,1.85867,1.75071,0.00034655,0.00034655,0.00034655
33,4094.49,1.51152,1.88158,1.65033,0.57783,0.36279,0.36518,0.20004,1.80118,1.87922,1.75473,0.0003416,0.0003416,0.0003416
34,4217.26,1.50664,1.86632,1.64375,0.58284,0.36333,0.3682,0.20345,1.821,1.85962,1.76072,0.00033665,0.00033665,0.00033665
35,4339.92,1.506,1.85033,1.64159,0.58267,0.36815,0.37408,0.20747,1.81092,1.8617,1.75263,0.0003317,0.0003317,0.0003317
36,4462.32,1.4968,1.83673,1.62752,0.58236,0.36546,0.36638,0.20513,1.81226,1.85804,1.75231,0.00032675,0.00032675,0.00032675
37,4586.04,1.49998,1.83237,1.63475,0.59275,0.35979,0.3741,0.20857,1.80937,1.84714,1.7535,0.0003218,0.0003218,0.0003218
38,4709.72,1.48608,1.81985,1.62937,0.58055,0.37945,0.38325,0.21287,1.8063,1.82143,1.74497,0.00031685,0.00031685,0.00031685
39,4832.79,1.48792,1.80443,1.61932,0.57377,0.37976,0.37737,0.215,1.7964,1.8278,1.74586,0.0003119,0.0003119,0.0003119
40,4955.49,1.4851,1.7989,1.61968,0.61593,0.36418,0.38362,0.21285,1.80962,1.82847,1.7466,0.00030695,0.00030695,0.00030695
41,5078.73,1.47988,1.78542,1.61738,0.58056,0.37671,0.37888,0.21919,1.79846,1.83833,1.75302,0.000302,0.000302,0.000302
42,5201.82,1.48155,1.78086,1.61944,0.58627,0.38674,0.38616,0.21884,1.78805,1.82804,1.74512,0.00029705,0.00029705,0.00029705
43,5324.49,1.47739,1.77771,1.62071,0.61805,0.3679,0.38571,0.21552,1.80008,1.82084,1.75268,0.0002921,0.0002921,0.0002921
44,5447.32,1.4684,1.7555,1.60554,0.61063,0.36444,0.38425,0.21887,1.79675,1.81502,1.74608,0.00028715,0.00028715,0.00028715
45,5569.7,1.47534,1.7601,1.60767,0.60906,0.37467,0.38549,0.21704,1.81157,1.81213,1.75766,0.0002822,0.0002822,0.0002822
46,5692.95,1.46767,1.73335,1.59751,0.60657,0.37765,0.38554,0.21683,1.80671,1.81818,1.74615,0.00027725,0.00027725,0.00027725
