epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,6163.82,1.52744,2.10532,0.01722,0.56333,0.37775,0.36434,0.2077,1.74756,2.13026,0.02471,0.00029705,0.00029705,0.00029705
43,6309.36,1.52806,2.11354,0.0171,0.57343,0.36954,0.36084,0.20694,1.74853,2.14584,0.02495,0.0002921,0.0002921,0.0002921
44,6457.88,1.51964,2.07896,0.01697,0.56729,0.36745,0.35869,0.20555,1.75715,2.13429,0.02515,0.00028715,0.00028715,0.00028715
45,6607.03,1.51175,2.09316,0.01677,0.55357,0.37483,0.36284,0.20628,1.762,2.1354,0.02503,0.0002822,0.0002822,0.0002822
46,6756.54,1.51292,2.0698,0.01686,0.56338,0.37327,0.36671,0.21187,1.7468,2.14447,0.02466,0.00027725,0.00027725,0.00027725
47,6906.53,1.50886,2.06245,0.01694,0.56169,0.37081,0.36231,0.20895,1.75227,2.1434,0.02479,0.0002723,0.0002723,0.0002723
48,7056.15,1.50545,2.03928,0.01689,0.56687,0.3744,0.36884,0.21035,1.7566,2.13231,0.025,0.00026735,0.00026735,0.00026735
49,7205.65,1.50782,2.0449,0.01688,0.55951,0.37788,0.3707,0.21277,1.74455,2.12861,0.02459,0.0002624,0.0002624,0.0002624
50,7355.96,1.5061,2.0148,0.01683,0.55202,0.37519,0.3663,0.21221,1.75746,2.12303,0.02493,0.00025745,0.00025745,0.00025745
51,7505.62,1.50154,2.01873,0.01686,0.56108,0.37471,0.36956,0.21334,1.759,2.1264,0.02499,0.0002525,0.0002525,0.0002525
52,7654.91,1.50472,2.02266,0.0166,0.57047,0.37291,0.37248,0.21674,1.74446,2.11936,0.02455,0.00024755,0.00024755,0.00024755
53,7802.71,1.49518,1.99283,0.01656,0.56668,0.38306,0.3731,0.21529,1.76306,2.09586,0.02493,0.0002426,0.0002426,0.0002426
54,7950.57,1.48859,1.98845,0.01649,0.57359,0.37535,0.37922,0.21963,1.76373,2.09985,0.02497,0.00023765,0.00023765,0.00023765
55,8096.91,1.49024,1.97462,0.01666,0.56212,0.38235,0.37603,0.21647,1.76516,2.09986,0.02491,0.0002327,0.0002327,0.0002327
56,8242.56,1.49136,1.94788,0.0164,0.57667,0.38776,0.3769,0.21881,1.77734,2.08952,0.02524,0.00022775,0.00022775,0.00022775
57,8388.88,1.49197,1.95996,0.01661,0.58659,0.38132,0.37723,0.2185,1.7723,2.10113,0.02511,0.0002228,0.0002228,0.0002228
58,8534.41,1.47948,1.95574,0.01658,0.57634,0.38617,0.37864,0.21991,1.77435,2.09112,0.02518,0.00021785,0.00021785,0.00021785
59,8681.77,1.47991,1.94724,0.0165,0.57608,0.38462,0.37647,0.21897,1.77891,2.09854,0.02507,0.0002129,0.0002129,0.0002129
60,8828.7,1.48182,1.93132,0.01646,0.59133,0.37093,0.37338,0.21612,1.77351,2.11191,0.02508,0.00020795,0.00020795,0.00020795
61,8974.74,1.4818,1.92355,0.01639,0.59099,0.37362,0.37947,0.21913,1.77863,2.10587,0.02523,0.000203,0.000203,0.000203
62,9120.48,1.46855,1.90474,0.01633,0.59269,0.37671,0.38158,0.21837,1.78187,2.10242,0.02532,0.00019805,0.00019805,0.00019805
63,9267.38,1.47871,1.90916,0.01635,0.58174,0.36982,0.37828,0.21777,1.78063,2.10884,0.02532,0.0001931,0.0001931,0.0001931
