epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4918,1.49328,1.82386,1.62514,0.57667,0.38137,0.37007,0.20705,1.80705,1.8599,1.75227,0.00029705,0.00029705,0.00029705
43,5035.15,1.48817,1.82131,1.62144,0.59573,0.37419,0.37127,0.20966,1.82027,1.8643,1.76524,0.0002921,0.0002921,0.0002921
44,5152.24,1.47816,1.79872,1.60947,0.59677,0.36314,0.37092,0.20687,1.82412,1.85259,1.76204,0.00028715,0.00028715,0.00028715
45,5270.12,1.48826,1.80467,1.61608,0.57881,0.38128,0.36843,0.20595,1.81812,1.84934,1.76383,0.0002822,0.0002822,0.0002822
46,5388.74,1.48033,1.79093,1.60884,0.57552,0.3674,0.36909,0.20635,1.8163,1.85518,1.76425,0.00027725,0.00027725,0.00027725
47,5506.46,1.47491,1.78261,1.60741,0.58763,0.37573,0.37585,0.21254,1.81227,1.8478,1.75956,0.0002723,0.0002723,0.0002723
48,5624.29,1.47022,1.76904,1.60655,0.58,0.38862,0.3783,0.21103,1.81927,1.85144,1.75848,0.00026735,0.00026735,0.00026735
49,5741.83,1.47172,1.76363,1.60293,0.58589,0.37591,0.37917,0.21207,1.81606,1.83786,1.75615,0.0002624,0.0002624,0.0002624
50,5859.82,1.46347,1.7443,1.59682,0.61533,0.35845,0.37804,0.21064,1.81263,1.83917,1.75032,0.00025745,0.00025745,0.00025745
51,5978.24,1.4663,1.74454,1.60005,0.58784,0.37693,0.38013,0.21256,1.81551,1.84309,1.75697,0.0002525,0.0002525,0.0002525
52,6096.28,1.46641,1.74371,1.59494,0.60951,0.37349,0.37999,0.21437,1.8111,1.83803,1.75596,0.00024755,0.00024755,0.00024755
53,6214.18,1.45892,1.72537,1.5895,0.59689,0.38087,0.37886,0.21692,1.81213,1.83833,1.75677,0.0002426,0.0002426,0.0002426
54,6331.8,1.45448,1.71336,1.58467,0.58897,0.37947,0.37869,0.21438,1.8197,1.83923,1.75919,0.00023765,0.00023765,0.00023765
55,6449.62,1.45069,1.71242,1.58399,0.60357,0.38219,0.38308,0.21366,1.82094,1.83806,1.76436,0.0002327,0.0002327,0.0002327
56,6566.8,1.44745,1.68434,1.57849,0.6076,0.37657,0.38502,0.21568,1.82055,1.83118,1.76584,0.00022775,0.00022775,0.00022775
57,6684.36,1.4496,1.69975,1.58067,0.59281,0.38601,0.38581,0.21564,1.81837,1.83329,1.76493,0.0002228,0.0002228,0.0002228
58,6801.67,1.43569,1.68997,1.57799,0.58788,0.39099,0.38463,0.21627,1.815,1.82322,1.762,0.00021785,0.00021785,0.00021785
